id,name,reference,status,price,category_id,available_quantity,iva_percentage,iva,total_sold_quantity,total_revenue
811,COMEDERO TRENDY DINNER 210 ML CATS IN LOVE,,active,11406.0,5063,0.0,19.0,2167.14,0.0,0.0
905,COMEDERO TRENDY DINNER 210 ML EDEN,,active,11406.0,5063,0.0,19.0,2167.14,0.0,0.0
810,COMEDERO TRENDY DINNER 210 ML FF AZUL,,active,8462.0,5063,0.0,19.0,1607.78,0.0,0.0
808,COMEDERO TRENDY DINNER 210 ML FF HOT PINK,,active,11635.0,5063,0.0,19.0,2210.65,0.0,0.0
809,COMEDERO TRENDY DINNER 210 ML FF VERDE,,active,10342.0,5063,-1.0,19.0,1964.98,1.0,10342.0
824,COMEDERO TRENDY DINNER 210 ML LUXURIOS,,active,13471.0,5063,0.0,19.0,2559.49,0.0,0.0
823,COMEDERO TRENDY DINNER 210 ML LUXURIOUS,,active,12152.0,5063,0.0,19.0,2308.88,0.0,0.0
878,COMEDERO TRENDY DINNER 210 ML MAASAI,,active,11406.0,5063,0.0,19.0,2167.14,0.0,0.0
815,COMEDERO TRENDY DINNER 350 ML CATS IN LOVE,,active,14736.0,5063,5.0,19.0,2799.84,0.0,0.0
906,COMEDERO TRENDY DINNER 350 ML EDEN,,active,14736.0,5063,3.0,19.0,2799.84,0.0,0.0
814,COMEDERO TRENDY DINNER 350 ML FF AZUL,,active,10769.0,5063,0.0,19.0,2046.11,0.0,0.0
813,COMEDERO TRENDY DINNER 350 ML FF VERDE,,active,13057.0,5063,2.0,19.0,2480.83,1.0,10924.369748
812,COMEDERO TRENDY DINNER 350 ML FF VIOLETA,,active,14736.0,5063,0.0,19.0,2799.84,0.0,0.0
825,COMEDERO TRENDY DINNER 350 ML LUXURIOUS,,active,15513.0,5063,3.0,19.0,2947.47,0.0,0.0
882,COMEDERO TRENDY DINNER 350 ML MAASAI,,active,14557.0,5063,0.0,19.0,2765.83,1.0,14557.0
907,COMEDERO TRENDY DINNER 735 ML EDEN,,active,22596.0,5063,2.0,19.0,4293.24,0.0,0.0
826,COMEDERO TRENDY DINNER 735 ML LUXURIOUS,,active,22596.0,5063,3.0,19.0,4293.24,0.0,0.0
1787,COMEDERO VENERE L,,active,29153.0,5063,0.0,19.0,5539.07,0.0,0.0
1786,COMEDERO VENERE M,,active,19988.0,5063,0.0,19.0,3797.72,0.0,0.0
1653,COMEDERO/BEBEDERO 0.2L 21*13*5 H,,active,9178.0,5063,0.0,19.0,1743.82,0.0,0.0
1652,COMEDERO/BEBEDERO 0.7 L 19X19X11 H ROSA AZ,,active,14447.0,5063,-1.0,19.0,2744.93,1.0,14447.0
397,COMEDOR ANTI SKID,,active,33231.0,5063,0.0,19.0,6313.89,1.0,33231.0
394,COMEDOR BUBA,,active,17057.0,5063,0.0,19.0,3240.83,2.0,34114.0
392,COMEDOR CORAL,,active,64615.0,5063,0.0,19.0,12276.85,3.0,193845.0
402,COMEDOR IND PORTATIL PEQUEÑO,,active,9130.0,5063,1.0,19.0,1734.7,0.0,0.0
391,COMEDOR MONTY,,active,49580.0,5063,2.0,19.0,9420.2,4.0,198320.0
399,COMEDOR PREMIUM MELAMINA P,,active,33277.0,5063,1.0,19.0,6322.63,0.0,0.0
2540,COMEDOR ROCKET TALLA L,,active,12000.0,5063,1.0,19.0,2280.0,3.0,36000.0
2539,COMEDOR ROCKET TALLA M,,active,10000.0,5063,1.0,19.0,1900.0,4.0,40000.0
401,COMEDOR SQUARE P,,active,36923.0,5063,0.0,19.0,7015.37,0.0,0.0
387,COMEDOR TRAVEL TALLA L,,active,50681.0,5063,0.0,19.0,9629.39,0.0,0.0
